Name,Phone,City,Neighborhood,Address,Gmaps_URL,Plus_Code,Lat,Lng,
Pharmacie Ben Khadda,+212 80-8581339,Fes,,"Route principale fes meknes, 129 lot almanara, Fes, Maroc","https://www.google.com/maps/place/Pharmacie+Manara+Euromed./@34.0367506,-5.026848,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Fes+Morocco!6e2!3m4!1s0xd9f8ba0ae5e25c1:0x1b224a2e024e0551!8m2!3d34.0450218!4d-5.0586351?hl=en","2WWR+2G Fes, Morocco","34,0450218","-5,0586351","34,0450218-5,0586351"
Pharmacie Rim,+212 80-8554851,Tangier,,"P4605, Tanger, Maroc","https://www.google.com/maps/place/Pharmacie+Gare+Routi%C3%A8re/@35.7678679,-5.8575298,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tangier+Morocco!6e2!3m4!1s0xd0b87c57567db8f:0x1b41efa39b0f2e8!8m2!3d35.7229226!4d-5.8610544?hl=en","P4FQ+5H Tangier, Morocco","35,7229226","-5,8610544","35,7229226-5,8610544"
Pharmacie Foum Oudi,+212 80-8540276,Mediouna,,"N9, Mediouna, Maroc","https://www.google.com/maps/place/Pharmacie+wellness/@33.2679611,-7.8590119,10z/data=!4m9!1m3!2m2!1sPharmacies+in+Berrechid+Morocco!6e2!3m4!1s0xda6373440698cd1:0xfe83fcfee1b75637!8m2!3d33.4358225!4d-7.5206874?hl=en","CFPH+8P Mediouna, Morocco","33,4358225","-7,5206874","33,4358225-7,5206874"
Pharmacie Corse,+212 80-8531262,Kenitra,,"566, Kénitra, Maroc","https://www.google.com/maps/place/Pharmacie+Amicale/@34.2499794,-6.6571474,12z/data=!4m8!1m2!2m1!1sPharmacies+in+Kenitra+Morocco!3m4!1s0xda7598bc74987c1:0xe57b97ee565d38e1!8m2!3d34.2459123!4d-6.6038467?hl=en","69WW+9F Kenitra, Morocco","34,2459123","-6,6038467","34,2459123-6,6038467"
Pharmacie bab lgissa صيدلية باب العجسة,+212 80-8530494,Essaouira,,"Lot azlef N°24, 02 Avenue Attaîf, Essaouira, Maroc","https://www.google.com/maps/place/Pharmacie+Hizam+Al+Akhdar/@31.5132061,-9.7698672,15z/data=!4m9!1m3!2m2!1sPharmacies+in+Essaouira+Morocco!6e2!3m4!1s0xdad9b0840ee22fd:0xea1f55c8f3d4db89!8m2!3d31.5039036!4d-9.7543586?hl=en","G63W+H7 Essaouira, Morocco","31,5039036","-9,7543586","31,5039036-9,7543586"
Pharmacie ZAOUIA,+212 80-8530219,Zagora,,"Boulevard Mohamed 5, Zagora, Maroc","https://www.google.com/maps/place/Pharmacie+Yassine/@40.402788,-14.8077206,4z/data=!4m8!1m2!2m1!1sPharmacies+in+Zagora+Morocco!3m4!1s0xdbc36f3811f5ffd:0x82b87bc4fe0cbc8c!8m2!3d30.34581!4d-5.8382683?hl=en","85W6+8M Zagora, Morocco","30,34581","-5,8382683","30,34581-5,8382683"
Pharmacie Taghazout,+212 80-8524713,Temara,,"N°2, Ouled Slama, P4022, Rabat, Maroc","https://www.google.com/maps/place/Pharmacie+JNANE+ZAHRA/@33.8448753,-7.1881911,11z/data=!4m9!1m3!2m2!1sPharmacies+in+Skhirate+Morocco!6e2!3m4!1s0xda70d0588d1f405:0x3c4c3870be6e9b22!8m2!3d33.8746155!4d-6.9782667?hl=en","V2FC+RM Temara, Morocco","33,8746155","-6,9782667","33,8746155-6,9782667"
Pharmacie N'zalat,+212 80-8524539,Sefrou,,"Route Sidi Boumadyene،, Sefrou, Maroc","https://www.google.com/maps/place/Pharmacie+ZGHARI/@33.8279762,-4.8480971,14z/data=!4m8!1m2!2m1!1sPharmacies+in+Sefrou+Morocco!3m4!1s0xd9f9bfa1f46cde3:0x4a34bfbfd7f79a9a!8m2!3d33.8243531!4d-4.8248251?hl=en","R5FG+P3 Sefrou, Morocco","33,8243531","-4,8248251","33,8243531-4,8248251"
Pharmacie Centrale Sefrou,+212 80-8521255,Guelmim,,"Unnamed Road, 81000, Maroc","https://www.google.com/maps/place/Pharmacie+Gharnata/@28.9764568,-10.082225,14z/data=!4m8!1m2!2m1!1sPharmacies+in+Guelmim+Morocco!3m4!1s0xdb503feac9f16e1:0x87f9618fa6bfe8f3!8m2!3d28.9764568!4d-10.0647155?hl=en","XWGP+H4 Guelmim, Morocco","28,9764568","-10,0647155","28,9764568-10,0647155"
Pharmacie ajrifat صيدلية الجريفات,+212 80-8519754,Beni-Mellal,,شارع نواكشوط،، بني ملال‎،، Maroc,"https://www.google.com/maps/place/Parapharmacie+GP+Pharm/@32.3384785,-6.3778927,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Beni+Mellal+Morocco!6e2!3m4!1s0xda387bf84abe2a9:0x7166a53c0d504e01!8m2!3d32.3338196!4d-6.3482318?hl=en","8MM2+GP Beni-Mellal, Morocco","32,3338196","-6,3482318","32,3338196-6,3482318"
